Ticker,H,c
FE,0.5333216743797992,0.9932543152235017
CLX,0.4990387541080045,1.3094849816655505
PKG,0.7098265139356474,0.7479424293622052
NTRS,0.5864448880588187,0.983799017906522
ZBRA,0.5734498215154286,0.9143504386048629
ULTA,0.4615739954762579,1.456987215918761
DVN,0.49750950873441596,1.1691803055682162
LII,0.8711512357913915,0.4735114708280454
CBOE,0.7569396889432821,0.7183137562470698
LUV,0.4433554648693978,1.5315664012352717
WY,0.2936098457125199,2.174743079974659
MKC,0.44255506125645877,1.7219923983756318
CMS,0.5672979696719712,0.9297834055494127
FSLR,0.42833601711216296,1.2626588440767486
LDOS,0.7264649835449103,0.7456307582874464
CFG,0.5962556295288565,0.9679460735460376
LH,0.45110279381518475,1.3681801867189236
LYB,0.4359850140464839,1.3017383251838452
IP,0.646784999690486,0.752570413182938
PODD,0.6175544389654581,0.9608118562299269
COO,0.40222095878722086,1.6111697880928428
STX,0.6809869509859438,0.752013189000732
FDS,0.44201232538183544,1.157374468657
NRG,0.8033007060825299,0.6705877422761657
INVH,0.42830740910246606,1.3065058604745492
ESS,0.5926206650634035,0.9428541150893609
LVS,0.4377304795848497,1.465640962114128
SNA,0.6038472404413897,0.8509629905353508
MAA,0.5234404898502856,1.2362661565801454
WRB,0.6284529929968673,1.037833150157926
TRMB,0.5106450081969022,1.1585632398177308
CTRA,0.3496038665166548,1.6174722555216228
EL,0.7807401792504661,0.6666898758444759
OMC,0.48514128528605277,1.2149931691429467
BLDR,0.6466875504272219,1.0430489495008648
DGX,0.43217166250638844,1.753300374931675
KEY,0.5817960963317781,0.9647121650030419
NI,0.6760313899172743,0.7300395489850865
J,0.6154043729106582,0.7746767891452452
MOH,0.4721544424523821,1.3210086923435653
PNR,0.7353443396758058,0.737584287225942
DG,0.6305630400309423,1.1238952285672508
BBY,0.5176465039314927,1.166597905743158
HOLX,0.49295530990329806,1.2438562516413783
BALL,0.4843294855422034,1.1883188804499691
TSN,0.4069603244327896,1.6621953157212745
