Ticker,Volatility,NbWeek,Hurst,c
SLB,0.3235238281358534,105,0.4041602198258972,1.4761161249703618
KIM,0.3207550350461558,105,0.4880342891086236,1.3382204934886504
TRGP,0.3200400594408701,105,0.8111991374977159,0.5942498148028045
DVA,0.3194658488538525,105,0.6616686671178367,0.7696882368716933
VLO,0.3192690667960394,105,0.5134010165467886,1.0809498722527178
HUBB,0.3189552091902661,105,0.6725599927866354,0.8024802810713797
APTV,0.31821827164098415,105,0.6147099540341799,0.8910051724289477
MTB,0.31816564624611715,105,0.6019207640882698,0.9397043219466951
CTVA,0.3176381711484072,105,0.5370185052480273,0.9075064222818727
EOG,0.31711782608016703,105,0.38011170171709524,1.4138841987214767
EPAM,0.31708243292884253,105,0.5444671242213639,1.043688622513639
TRMB,0.3169870387429036,105,0.5100625202426067,1.1606105831487668
GRMN,0.3169582068163642,105,0.8347690428565002,0.4626839078594418
NXPI,0.31684195843182444,105,0.546729954826695,1.065502916719788
NTAP,0.3156056357673372,105,0.6694059146415747,0.9406726428537913
ARE,0.3154296318922634,105,0.6178404699957328,0.8188332531569997
MTD,0.31487057423714226,105,0.5519328859495313,1.0305637479134586
WY,0.3148217640711403,105,0.2914933176186514,2.1879573842739988
NOW,0.3147246769981147,105,0.7934390469091787,0.6343472871024328
CE,0.3146086290869663,105,0.5511275732021618,1.1379283425275828
MKTX,0.31430294002774783,105,0.46621982692720904,1.5977411263352026
LKQ,0.3137047156403532,105,0.5794318372260776,0.8942593085924373
KMX,0.31298561853337004,105,0.3795064763193708,1.6111554070371688
CVX,0.3125528356332678,105,0.25033520170375445,2.2812880839093777
CARR,0.31231842056178655,105,0.6653382407051924,0.7088928666673885
SBAC,0.3101920355004425,105,0.4883546118920087,1.3115212762057349
LUV,0.30855351611432635,105,0.4434555028086474,1.530945676675786
GS,0.3081602922472559,105,0.7283799656015035,0.6045301246337716
POOL,0.30805010895311835,105,0.3457867121358751,1.6501693116866754
TT,0.30641657421294366,105,0.7878229693330001,0.5767418074637486
PWR,0.3063233901529043,105,0.7272645474319616,0.7786558723116969
EFX,0.3047418275264856,105,0.5539834815624973,1.1135983295623122
CMG,0.304653223760583,105,0.6759594716495047,0.9689356882019501
OKE,0.3045852047309271,105,0.7622391947118923,0.5422967138558594
AKAM,0.30429512370407646,105,0.5878799491825033,1.0566895865639163
MS,0.3042877892088728,105,0.6546167233117932,0.7624707462405358
NFLX,0.304109898837679,105,0.6829772541198114,0.9371313357733897
LLY,0.3040682242816335,105,0.7214738490676611,0.9581426614063321
PNC,0.30358142786709136,105,0.6192325682041533,0.894235757655197
BAX,0.3030156636601165,105,0.3876080712421801,2.003858207954771
RJF,0.30273688780522523,105,0.57276268027264,1.160239051251435
NEE,0.30250431747070916,105,0.5578718682755622,1.127600231294905
MOH,0.3021569163745004,105,0.4721706254660444,1.3207197998274238
CTRA,0.30111182257245833,105,0.34947481694595295,1.6178344717402027
ADSK,0.3009159733241214,105,0.5312111006410165,0.9727587102580953
RL,0.3002807955022656,105,0.6686670140916684,0.7806222672265182
BKR,0.3001746629228424,105,0.5121185764822076,1.304400699893064
TPR,0.29973293100716686,105,0.6007955210975051,0.9997226408938226
BAC,0.2993136715306441,105,0.591998182548526,0.9925225971947703
SNA,0.2990011312193641,105,0.6022798781165983,0.8549852656767692
CCI,0.2988850166631758,105,0.5355376120695912,1.2817208101472157
PNR,0.2982598027205534,105,0.7349512633919207,0.7385044746789843
SWKS,0.298040844860603,105,0.24527019997461624,2.517059703813104
A,0.297665588183739,105,0.5053224640106204,1.1883902090378302
UPS,0.29680732242948327,105,0.48343479251725885,1.2206688694546606
TXT,0.2960061510884366,105,0.6100853378794114,0.7529123621186197
APH,0.29583636697246846,105,0.6983996247539985,0.7333972932426571
ERIE,0.29560116409980264,105,0.6568447764028578,1.0233766725285578
RVTY,0.2950018574980736,105,0.5469188358969486,1.0676406617243306
IP,0.2944979047807201,105,0.6464196669351767,0.753521945852467
REGN,0.2940703085192024,105,0.48696886141612694,1.6131326399833557
ORCL,0.29380573835312024,105,0.708626327953805,0.7754796489797247
PSX,0.29352162324208814,105,0.6411544586464789,0.8061245020422861
IPG,0.2934122456958411,105,0.46340258429104836,1.1728368209749138
BALL,0.2928662242645537,105,0.48360107944989184,1.1909606643719257
ZTS,0.2925629762373202,105,0.3255426829268757,2.023377814834607
DRI,0.29235991578296194,105,0.40199459654533226,1.6892937420962302
IDXX,0.29220858243440817,105,0.37893426390304136,1.6959536264587411
DXCM,0.29107608348265146,105,0.4443357094316038,1.4181585668546142
TGT,0.2909670463464404,105,0.49929159950333873,1.3226184237935563
COP,0.2905517412848615,105,0.42404361003483254,1.4254962832132616
QRVO,0.28955804212455455,105,0.47943189167085926,1.1109896861147737
DECK,0.28892648713420266,105,0.7653430696545465,0.7013564337367245
HCA,0.28862503121355637,105,0.6129681725965271,1.006344779117138
IQV,0.2883020817048839,105,0.31674602606334884,2.064217536084019
GE,0.287713880473058,105,0.9041632123352165,0.5677307592897632
GOOG,0.2874218009798976,105,0.7173139563576063,0.6520759365010191
NSC,0.28644464926452057,105,0.45043666768573865,1.5258696767344684
